"",Totale,Totale,Totale,Incidenza,0 - 4,5 - 14,15 - 64,65 e oltre
Settimana,,,,,,,,
"",Medici,Casi,Assistiti,Totale,Casi Inc,Casi Inc,Casi Inc,Casi Inc
2016-42,914,711,1.195.202,"0,59","98 1,36","85 0,54","447 0,64","81 0,30"
2016-43,978,910,1.278.606,"0,71","121 1,58","123 0,74","553 0,74","113 0,39"
2016-44,1.020,1.084,1.337.438,"0,81","136 1,75","131 0,76","681 0,87","136 0,45"
2016-45,1.043,1.340,1.368.032,"0,98","196 2,46","187 1,05","804 1,00","153 0,50"
2016-46,1.051,1.726,1.378.292,"1,25","236 2,89","279 1,54","1034 1,28","177 0,57"
2016-47,1.049,2.178,1.376.418,"1,58","340 4,22","366 2,06","1240 1,53","232 0,75"
2016-48,1.040,2.727,1.362.363,"2,00","438 5,49","519 2,94","1493 1,87","277 0,90"
2016-49,1.044,3.447,1.369.108,"2,52","495 6,15","696 3,91","1869 2,33","387 1,26"
2016-50,1.075,6.080,1.410.698,"4,31","810 9,91","1173 6,49","3466 4,17","631 1,99"
2016-51,1.113,9.788,1.352.128,"7,24","1546 19,24","2379 13,27","4849 6,14","1014 3,35"
2016-52,1.049,13.059,1.366.772,"9,55","1974 24,90","2305 13,20","6985 8,64","1795 5,89"
2017-01,1.029,2.201,1.342.776,"9,09","1377 17,22","1760 9,84","7163 9,15","1901 6,32"
2017-02,1.052,11.984,1.377.202,"8,70","1287 15,65","1739 9,47","7110 8,86","1848 5,98"
2017-03,1.053,10.517,1.380.294,"7,62","1527 18,51","2066 11,23","5610 6,97","1314 4,25"
2017-04,1.038,9.029,1.362.979,"6,62","1432 17,55","1918 10,61","4670 5,86","1009 3,32"
2017-05,1.038,7.679,1.359.817,"5,65","1248 15,21","1602 8,73","3979 5,03","850 2,80"
2017-06,1.019,5.674,1.333.901,"4,25","956 12,09","1245 7,10","2884 3,70","589 1,97"
2017-07,1.009,4.229,1.320.927,"3,20","734 9,44","931 5,32","2157 2,79","407 1,37"
2017-08,998,3.452,1.308.174,"2,64","519 6,87","670 3,96","1889 2,46","374 1,27"
2017-09,980,2.803,1.281.972,"2,19","434 5,73","527 3,13","1510 2,02","332 1,15"
2017-10,969,2.231,1.269.141,"1,76","333 4,41","426 2,55","1247 1,68","225 0,79"
2017-11,958,1.858,1.255.993,"1,48","295 4,00","316 1,93","1047 1,42","200 0,71"
2017-12,951,1.532,1.245.059,"1,23","248 3,40","245 1,50","862 1,18","177 0,63"
2017-13,904,1.224,1.185.439,"1,03","192 2,81","210 1,39","699 1,00","123 0,46"
2017-14,906,1.018,1.187.039,"0,86","142 2,07","176 1,15","584 0,84","116 0,43"
2017-15,873,769,1.145.286,"0,67","125 1,96","130 0,91","427 0,63","87 0,33"
2017-16,842,652,1.102.537,"0,59","106 1,71","91 0,65","374 0,57","81 0,32"
2017-17,780,551,1.020.835,"0,54","68 1,17","56 0,42","344 0,57","83 0,36"
